,MATICUSDT,STXUSDT,Spread,ZScore
144,1.4697,1.129,0.013290000000000024,1.4372003842168082
145,1.4668,1.131,0.007810000000000095,0.8858759275014952
146,1.4542,1.13,-0.0035000000000000586,-0.1274407624715251
147,1.4691,1.14,-0.0014999999999998348,0.064238042482142
148,1.4719,1.139,0.00258999999999987,0.38196195131127203
149,1.4677,1.131,0.008709999999999996,0.8704176932192537
150,1.4531,1.122,0.005719999999999947,0.5472731015237989
151,1.526,1.169,0.01798999999999995,1.4699982776503357
152,1.5631,1.183,0.037029999999999896,2.476188586798426
153,1.5464,1.209,-0.013210000000000166,-1.656200905602982
154,1.5561,1.236,-0.03834000000000004,-2.9100053447828915
155,1.5506,1.239,-0.04771000000000014,-2.6810112831278294
156,1.5461,1.219,-0.026410000000000045,-1.3425371688378978
157,1.5701,1.223,-0.007570000000000077,-0.29382514644421703
158,1.5533,1.215,-0.01405000000000034,-0.6241597886468759
159,1.5834,1.232,-0.005880000000000107,-0.1672237878212051
160,1.614,1.246,0.00666000000000011,0.47213281727756345
161,1.6371,1.253,0.020730000000000137,1.1156833510926405
162,1.6111,1.235,0.01794999999999991,0.9136766415767738
163,1.6042,1.227,0.02136999999999989,1.0205031884400688
164,1.5854,1.23,-0.0013000000000000789,-0.06499946296580755
165,1.595,1.243,-0.0084700000000002,-0.3703394882730833
166,1.5893,1.234,-0.0025600000000001177,-0.05234892646552329
167,1.5915,1.244,-0.01326000000000005,-0.5590673329985553
168,1.5968,1.246,-0.010539999999999994,-0.40126639847551127
169,1.599,1.248,-0.01092000000000004,-0.3873600821750182
170,1.5858,1.234,-0.006059999999999954,-0.11448969397483354
171,1.5957,1.24,-0.0039000000000002366,0.015574961670677633
172,1.5905,1.236,-0.003940000000000055,0.06794472515945146
173,1.6251,1.256,0.004859999999999864,0.6857740443217493
174,1.6547,1.28,0.0035000000000000586,0.5563895040765126
175,1.6,1.253,-0.016369999999999774,-0.7328622350852596
176,1.603,1.251,-0.010789999999999855,-0.6206750573604368
177,1.5894,1.233,-0.0011700000000003374,0.07397552052444233
178,1.5981,1.247,-0.01053000000000015,-0.7552000450814963
179,1.6221,1.251,0.008310000000000262,0.8522064321672869
180,1.6146,1.25,0.0020999999999999908,0.25384832246776234
181,1.6261,1.264,-0.0044599999999999085,-0.29918546804598073
182,1.5944,1.263,-0.03486999999999996,-2.5925613351432797
183,1.6101,1.262,-0.017879999999999896,-1.0967711474617077
184,1.6216,1.282,-0.0321800000000001,-2.2117910064252264
185,1.6083,1.256,-0.011940000000000062,-0.30735378171789385
186,1.6059,1.253,-0.010469999999999757,-0.1622342629769723
187,1.6141,1.252,-0.0009799999999999809,0.7060822163196099
188,1.6401,1.274,-0.0033600000000002517,0.4431453554567128
189,1.6461,1.261,0.019409999999999927,2.111178142976574
190,1.6574,1.261,0.030710000000000015,2.3990562427938267
191,1.6166,1.241,0.01570999999999989,1.258856544964753
192,1.6243,1.236,0.029859999999999998,1.8712061968720948
193,1.6258,1.241,0.024909999999999766,1.4199203807527925
194,1.643,1.245,0.036949999999999816,1.823294575302267
195,1.6779,1.251,0.06411000000000011,2.4992134653602114
196,1.6711,1.253,0.05473000000000017,1.82408993308499
197,1.6731,1.244,0.06834000000000007,1.9844462630128918
198,1.6219,1.223,0.04422999999999977,1.0510126538725924
199,1.635,1.23,0.04830000000000001,1.0776683212812936
