,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
63,SUSHIUSDT,CELOUSDT,0.02,-3.72,-3.37,1.34,16
200,SLPUSDT,ALGOUSDT,0.04,-3.4,-3.37,0.02,16
108,MANAUSDT,ALICEUSDT,0.02,-3.65,-3.37,0.37,15
11,EOSUSDT,CHRUSDT,0.0,-4.45,-3.37,5.44,15
162,HBARUSDT,BICOUSDT,0.0,-6.01,-3.37,0.17,15
48,ADAUSDT,ZILUSDT,0.02,-3.76,-3.37,22.07,15
224,KLAYUSDT,XNOUSDT,0.0,-4.25,-3.37,0.65,14
125,AVAXUSDT,LITUSDT,0.03,-3.53,-3.37,57.77,14
105,SANDUSDT,BANDUSDT,0.02,-3.68,-3.37,0.83,14
101,SANDUSDT,SKLUSDT,0.01,-4.03,-3.37,24.55,14
41,ADAUSDT,LITUSDT,0.04,-3.43,-3.37,0.66,14
67,MATICUSDT,CELRUSDT,0.03,-3.59,-3.37,37.84,14
97,TRXUSDT,SUNUSDT,0.01,-3.78,-3.37,5.07,14
198,SLPUSDT,YFIUSDT,0.02,-3.63,-3.37,0.0,14
111,MANAUSDT,BATUSDT,0.02,-3.76,-3.37,3.83,14
77,MATICUSDT,NEOUSDT,0.03,-3.52,-3.37,0.07,14
178,C98USDT,JSTUSDT,0.04,-3.41,-3.37,29.06,14
26,XTZUSDT,CVCUSDT,0.03,-3.48,-3.37,12.11,13
195,SLPUSDT,XTZUSDT,0.04,-3.43,-3.37,0.01,13
72,MATICUSDT,GTCUSDT,0.01,-4.05,-3.37,0.24,13
51,DOTUSDT,ATOMUSDT,0.01,-3.9,-3.37,0.63,13
221,KLAYUSDT,LOOKSUSDT,0.04,-3.47,-3.37,1.03,12
89,TRXUSDT,EGLDUSDT,0.01,-4.03,-3.37,0.0,12
54,UNIUSDT,SXPUSDT,0.05,-3.38,-3.37,7.24,12
91,TRXUSDT,AUDIOUSDT,0.01,-3.85,-3.37,0.08,12
147,HBARUSDT,SUSHIUSDT,0.02,-3.72,-3.37,0.07,12
152,HBARUSDT,EGLDUSDT,0.01,-3.92,-3.37,0.0,12
154,HBARUSDT,LRCUSDT,0.0,-4.19,-3.37,0.28,12
169,HBARUSDT,RAYUSDT,0.04,-3.39,-3.37,0.08,12
18,LTCUSDT,FTMUSDT,0.03,-3.59,-3.37,63.97,11
5,ETHUSDT,ANKRUSDT,0.01,-3.8,-3.37,41622.48,11
203,LPTUSDT,ATOMUSDT,0.01,-3.94,-3.37,0.88,11
172,C98USDT,KSMUSDT,0.03,-3.55,-3.37,0.01,11
229,REEFUSDT,FTMUSDT,0.04,-3.46,-3.37,0.01,11
190,FLOWUSDT,WAVESUSDT,0.04,-3.41,-3.37,0.46,11
114,MANAUSDT,GTCUSDT,0.01,-3.81,-3.37,0.43,10
218,KLAYUSDT,BICOUSDT,0.0,-4.54,-3.37,0.95,10
143,FTTUSDT,STORJUSDT,0.0,-4.23,-3.37,44.49,10
181,ALICEUSDT,VETUSDT,0.04,-3.41,-3.37,148.72,10
176,C98USDT,DUSKUSDT,0.03,-3.54,-3.37,3.83,9
55,XEMUSDT,WOOUSDT,0.04,-3.39,-3.37,0.22,9
66,MATICUSDT,FTMUSDT,0.01,-4.03,-3.37,0.9,9
58,SUSHIUSDT,COTIUSDT,0.02,-3.64,-3.37,15.54,9
202,LPTUSDT,LUNAUSDT,0.03,-3.5,-3.37,0.33,9
222,KLAYUSDT,JASMYUSDT,0.01,-3.9,-3.37,68.33,9
201,SLPUSDT,BITUSDT,0.02,-3.71,-3.37,0.02,9
139,OMGUSDT,ROSEUSDT,0.04,-3.38,-3.37,17.19,9
160,HBARUSDT,LITUSDT,0.01,-3.78,-3.37,0.16,8
164,HBARUSDT,SPELLUSDT,0.0,-4.4,-3.37,50.33,8
185,RENUSDT,CREAMUSDT,0.04,-3.46,-3.37,0.01,8
211,SFPUSDT,LOOKSUSDT,0.04,-3.46,-3.37,0.56,8
96,TRXUSDT,RAYUSDT,0.0,-4.28,-3.37,0.02,8
165,HBARUSDT,LOOKSUSDT,0.01,-3.91,-3.37,0.19,8
75,MATICUSDT,WAVESUSDT,0.03,-3.51,-3.37,0.12,7
225,ARUSDT,LUNAUSDT,0.03,-3.58,-3.37,0.39,7
184,RENUSDT,CTKUSDT,0.03,-3.55,-3.37,0.29,7
180,ALICEUSDT,FILUSDT,0.04,-3.43,-3.37,0.36,6
29,ADAUSDT,THETAUSDT,0.03,-3.59,-3.37,0.31,6
182,ALICEUSDT,THETAUSDT,0.02,-3.62,-3.37,2.47,6
103,SANDUSDT,LOOKSUSDT,0.01,-3.91,-3.37,2.62,6
226,REEFUSDT,FILUSDT,0.04,-3.44,-3.37,0.0,5
15,EOSUSDT,ZILUSDT,0.04,-3.45,-3.37,53.03,5
102,SANDUSDT,DUSKUSDT,0.03,-3.59,-3.37,8.75,3
151,HBARUSDT,BITUSDT,0.03,-3.54,-3.37,0.17,3
219,KLAYUSDT,WAVESUSDT,0.03,-3.56,-3.37,0.09,3
214,KLAYUSDT,LUNAUSDT,0.03,-3.58,-3.37,0.02,3
206,LPTUSDT,WAVESUSDT,0.05,-3.37,-3.37,1.93,3
109,MANAUSDT,WOOUSDT,0.02,-3.65,-3.37,5.92,3
220,KLAYUSDT,CREAMUSDT,0.03,-3.59,-3.37,0.02,1
216,KLAYUSDT,RUNEUSDT,0.04,-3.43,-3.37,0.31,1
215,KLAYUSDT,BITUSDT,0.01,-3.98,-3.37,0.95,1
